Name,Year,Position,Number,School,YDS,TDS
Ryan Heaton,JR,FB/DE,#43,Melcher-Dallas,22,0
Luke Brennan,SO,QB/DB,#6,Montezuma,4,0
Kenny Ness,SO,LB/WR,#6,GTRA,84,0
Kayden Winther,FR,RB/LB,#13,CAM,90,3
Kaden Kobliska,SR,WR,#8,Riceville,66,1
Jayden Butler,JR,TE/DE,#22,Janesville,60,1
Devin Meyer,SR,TE/LB,#15,Harris-Lake Park,47,0
Colin Hartl,JR,RB/LB,#38,Audubon,75,1
Keenan Foland,FR,QB/S,#10,West Harrison/Whiting Hawkeyes,17,0
Gabe Johnson,SR,QB/LB,#3,Sidney,18,1
Gavin DeFord,JR,RB/LB,#44,Waterloo Christian,8,0
Landyn Ankrum,SO,RB/LB,#36,HLV,-1,0
Tanner Troendle,FR,RB/DB,#23,Kee,106,2
Jed Bielenberg,SR,DE/WR,#15,Siouxland Christian,17,1
Charlie Schaefer,SR,QB/S,#6,North Iowa,17,0
Gannon Short,JR,RB/DB,#11,Colo-Nesco,44,3
Brayden Chester,JR,RB/LB,#34,CAM,58,2
Luke Lansing,SO,RB/LB,#44,Springville,45,1
Adam Bensley,SO,SL/LB,#12,Harris-Lake Park,57,1
Jamison Martin,JR,RB/DB,#11,West Harrison/Whiting Hawkeyes,55,1
Braedon Godfread,JR,TE/S,#10,Sidney,34,1
Keegan Chew,FR,QB/S,#7,Murray,-7,0
Carter Rycroft,SO,,#4,Fremont-Mills,11,0
Brock Micetich,FR,RB/LB,#36,Twin Cedars,38,0
Jackson Embree,JR,SL/LB,#33,East Mills,33,1
Jader Sanchez,SR,RB/DB,#4,Lone Tree,45,1
Lucas Christian,JR,WR/S,#18,Glidden-Ralston,23,0
Isaac Messamaker,JR,FB/LB,#25,Moravia,34,2
Johnny Milburn,JR,QB/DB,#13,Southeast Warren,5,0
Jack Angell,SO,QB/DB,#18,Colo-Nesco,20,0
Lane Genkinger,JR,RB/LB,#24,Winfield-Mt Union,105,2
Aiden Hellman,FR,,#18,Don Bosco,61,1
Blayne Porter,SO,QB/S,#1,Janesville,48,0
Ezekiel Konkler,SR,WR/CB,#20,Audubon,17,0
Rason Grail,SR,WR/DB,#23,East Union,26,0
Bryer Jack,FR,QB/DB,#14,HLV,-22,0
Trey Cota,FR,QB/LB,#10,Kee,18,0
Wyatt Leonard,SO,RB/LB,#21,Lenox,32,1
Kolben Robinson,SO,TE/LB,#25,Lenox,21,0
Ethan Baxter,JR,RB/LB,#52,Griswold,64,1
Cale Langreck,FR,QB/LB,#10,Turkey Valley,27,0
Peter Kielman,JR,TE/LB,#21,Clarksville,15,0
Cruz DeJong,SR,TE/LB,#40,Montezuma,15,0
Cade Tentinger,JR,RB/DB,#5,Remsen St. Mary's,21,0
Trenton Beard,SR,OL/LB,#34,Colo-Nesco,18,2
Tayler Kibbee,SO,RB/LB,#11,Janesville,64,2
Dakota Heishman,JR,WR/DB,#8,BGM,44,0
Jonas Buchanan,SO,,#34,GMG,25,0
Terrian Islas,JR,TE/DE,#5,East Union,23,1
Wyatt Kelley,FR,RB/LB,#19,East Union,23,1
Quintin White,SR,WR/DB,#3,Exira-EHK,17,1
Caden Kaufman,FR,RB/LB,#15,Lenox,55,1
Bode Wyman,JR,QB/CB,#8,Griswold,8,0
Kellen Whitman,FR,FB/LB,#32,Calamus-Wheatland,14,0
Seth Bell,FR,QB/DB,#26,Collins-Maxwell,9,0
Caybrin Schilling,SO,QB/DB,#7,Dunkerton,-24,0
Bram Bielenberg,FR,RB/LB,#35,Siouxland Christian,-2,0
Colton Cox,FR,RB/DB,#33,Melcher-Dallas,0,0
Lucas Dow,JR,RB/LB,#26,Rockford,-7,0
Abram Edwards,SR,TE/DE,#84,Winfield-Mt Union,17,3
Carter Hassebroek,JR,WR/DB,#8,Iowa Valley,31,1
Gabe Reeves,FR,RB/LB,#9,Janesville,18,1
Ethan Bridgewater,SO,RB/LB,#35,BGM,47,1
Isaac Delange,JR,WR/CB,#25,Bishop Garrigan,-6,0
Callan Messerich,SO,WR/DB,#6,Easton Valley,97,1
Carson Hopkins,FR,TE/LB,#45,West Harrison/Whiting Hawkeyes,18,0
Kaleb Gill,SR,,#1,GMG,22,0
Rider Kupka,SO,,#21,GMG,18,1
Andreas Buttry,JR,QB/CB,#5,Sidney,-1,0
Sam DeMeulenaere,JR,E/LB,#12,Belle Plaine,48,1
Keaton Brammer,FR,WR/CB,#14,Murray,6,2
Jonathan Ekpai,SO,,#24,Fremont-Mills,35,0
Gavin Clark,SO,RB/LB,#25,Twin Cedars,23,0
Blake Micetich,SR,RB/DB,#3,Twin Cedars,6,0
Cody Dorscher,JR,WR/CB,#24,Griswold,6,0
Wyatt Silk,SO,WR/CB,#15,Griswold,7,0
Cale Haley,SO,OG,#24,Stanton/Essex Vikings,33,0
Caleb Coffelt,FR,WR/DB,#3,Collins-Maxwell,12,0
Cal Heydon,SO,QB/DB,#11,Coon Rapids-Bayard,-11,0
Levi Evans,SO,TE/DE,#20,Mormon Trail,9,1
Hudson Clark,SO,WR/DB,#3,Gladbrook-Reinbeck,19,0
Brody Koski,FR,QB/LB,#7,Boyer Valley,69,0
Parker Reicks,SO,FB/LB,#42,Turkey Valley,25,0
Isaac Loan,SO,QB/DB,#12,Central Elkader,20,0
Milton Cushion,FR,RB/DB,#11,West Central,4,0
Hunter DeGard,FR,OG/DE,#24,Melcher-Dallas,8,0
Leo Schrader,FR,QB/DB,#23,Melcher-Dallas,-4,0
Gavyn Thordarson,SO,RB/DE,#8,Melcher-Dallas,8,0
Kolton Robinson,SO,RB/DB,#23,Northwood-Kensett,10,0
Alex Tiedemann,SO,QB/DB,#34,Northwood-Kensett,21,1
Blake Ewing,FR,FB/LB,#31,Moravia,10,0
Lerik McCarty,JR,RB/LB,#2,WACO,-14,0
Hayden Shelman,FR,DB/RB,#15,WACO,18,0
Collin Hoffman,SR,QB/S,#14,GTRA,11,0
Ashton Nally,SO,QB/CB,#1,Bedford,32,0
Jarit Tapia,SR,RB/DB,#14,Winfield-Mt Union,10,0
Kason Calhoun,FR,RB/DB,#32,CAM,11,0
Ty Flathers,SR,RB/DB,#15,CAM,6,0
Nathan Findlay,SO,RB/LB,#10,BGM,19,0
LaDarius Albright,JR,TE/LB,#9,Sidney,42,0
Tate Mount,SO,QB/DB,#2,Sidney,-3,0
Rylan Behrends,FR,RB/LB,#22,Sidney,10,0
Sawyer House,SR,WR/CB,#4,Midland,9,0
Austin Schmidt,JR,QB/DB,#2,West Bend-Mallard,7,0
Drew Fehr,SR,RB/DB,#7,West Bend-Mallard,16,1
Cash Emgarten,SR,WR/DB,#10,Exira-EHK,45,1
Parker Fister,SO,RB/DB,#20,Exira-EHK,6,0
Levi Fitzgerald,FR,WR/DB,#7,Lenox,14,0
Corbyn Sheley,FR,RB/LB,#32,Lenox,26,0
Mathew Lamkins,SR,,#32,Fremont-Mills,4,0
Gavin Shirley,FR,,#6,Fremont-Mills,-7,0
Braxton Davis,JR,WR/DB,#9,Twin Cedars,15,0
Holden Roberts,SO,TE/DE,#13,Twin Cedars,5,0
Dalton Martin,SO,OL/DL,#40,Collins-Maxwell,-19,0
Johnny Cortez,SO,RB/LB,#23,Coon Rapids-Bayard,2,0
Hayden Hicks,FR,TE/LB,#66,Boyer Valley,13,0
Emmett Burke,SO,WR/DB,#10,Lone Tree,29,0
Cristian Brown,SR,WR/DB,#47,Dunkerton,3,0
Trent Robertson,SR,WR/LB,#5,North Iowa,23,0
Talan Jacobsen,FR,QB/LB,#10,North Iowa,15,0
Luke Long,SO,RB/DB,#9,Moravia,5,0
Tyler Rogers,SO,LB/RB,#22,WACO,15,0
Brady Babel,FR,RB/CB,#9,Newell-Fonda,-1,0
Drew Urbanek,FR,QB/CB,#10,Tripoli,-3,0
Braxston Bucknell,FR,OL/DL,#99,Tripoli,5,0
Kase Coleman,SO,TE/DL,#37,Bedford,33,2
Braydon Hensley,JR,QB/CB,#13,Bedford,9,1
Nicholas Sparrow,SO,QB/DB,#1,Winfield-Mt Union,11,0
Ben Belew,JR,,#3,Don Bosco,75,1
Dane Smith,FR,RB/DB,#10,Iowa Valley,35,1
Spencer Munk,FR,RB/LB,#28,Woodbine,0,0
Johnathan Riesselman,SO,WR/DB,#7,Ar-We-Va,0,0
Parker Opperman,JR,RB/DT,#26,Janesville,31,1
Oliver Longerbeam,SO,QB/DB,#2,Springville,29,1
Jace March,FR,RB/CB,#3,Springville,5,0
Ethan Marso,SO,FB/LB,#11,Bishop Garrigan,10,1
Mason Ahrenstorff,SO,WR/S,#11,Harris-Lake Park,11,0
Michael Raines,SR,TE/LB,#26,New London,0,0
Jordan Boehde,FR,RB/DB,#13,Easton Valley,-3,0
Connor Rahn,JR,,#12,GMG,4,1
Jeremiah Marquette,SR,RB/LB,#25,Waterloo Christian,6,1
Morgan Cooley,SO,OL/DL,#42,East Union,11,0
Josh Lindsey,SO,WR/S,#36,Central City,8,0
Dane Ballou,FR,QB/LB,#17,Midland,13,0
Jarod Reams,JR,RB/DB,#8,Kee,9,0
Jack Anderson,JR,RB/DL,#2,Baxter,9,0
Asher Stutzman,JR,RB/LB,#13,English Valleys,0,0
Corey Breese,SR,TE/LB,#70,English Valleys,9,0
Aidyn Kling,FR,,#88,Fremont-Mills,-5,0
Hayden Jones,FR,TE/LB,#42,Griswold,6,0
Eli Riedesel,SR,OG/DE,#57,Calamus-Wheatland,4,0
Reed Oswalt,SO,WR/DB,#24,Collins-Maxwell,11,0
Drew Eilers,JR,WR/DL,#2,Gladbrook-Reinbeck,14,0
